,id,name,picture_url
0,1009525,Valeria Richards,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4d541255f088a.jpg
1,1017841,Valkyrie (Exiles),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
2,1010350,Valkyrie (Samantha Parrington),http://i.annihil.us/u/prod/marvel/i/mg/c/00/535fed8a3a00f.jpg
3,1011239,Valkyrie (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/4/20/53177396dc74f.jpg
4,1011182,Vampiro,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c002f27b9a1e.jpg
5,1011342,Vance Astro,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
6,1010989,Vanisher (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
7,1011365,Vanisher (Telford Porter),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
8,1009689,Vanisher (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
9,1011316,Vapor,http://i.annihil.us/u/prod/marvel/i/mg/3/40/4c002e541867f.jpg
10,1009690,Vargas,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c003a81cef50.jpg
11,1010872,Vector,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0035a7dd04d.jpg
12,1011231,Veda,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
13,1009691,Vengeance (Michael Badilino),http://i.annihil.us/u/prod/marvel/i/mg/3/e0/528d3655b9f06.jpg
14,1009663,Venom (Flash Thompson),http://i.annihil.us/u/prod/marvel/i/mg/7/80/5269668c7d5df.jpg
15,1010788,Venom (Mac Gargan),http://i.annihil.us/u/prod/marvel/i/mg/5/50/531773a2ac20a.jpg
16,1011128,Venom (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/e/10/531773a976816.jpg
17,1011106,Venus (Siren),http://i.annihil.us/u/prod/marvel/i/mg/f/f0/535ff36a8fbef.jpg
18,1009693,Venus Dee Milo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
19,1010353,Vermin (Edward Whelan),http://i.annihil.us/u/prod/marvel/i/mg/3/b0/528d3638185cb.jpg
20,1009694,Vertigo (Savage Land Mutate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
21,1011066,Victor Mancha,http://i.annihil.us/u/prod/marvel/i/mg/b/10/4c0030f13bcaf.jpg
22,1010324,Victor Von Doom,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
23,1011261,Vin Gonzales,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
24,1009695,Vindicator,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/4c003a7f39967.jpg
25,1010666,Violations,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
26,1009696,Viper,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
27,1010697,Virginia Dare,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
28,1009697,Vision,http://i.annihil.us/u/prod/marvel/i/mg/9/d0/5111527040594.jpg
29,1009698,Vivisector,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
30,1011011,Vulcan (Gabriel Summers),http://i.annihil.us/u/prod/marvel/i/mg/3/80/528d3629c2a91.jpg
31,1009699,Vulture (Adrian Toomes),http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c003a7929d28.jpg
32,1010990,Vulture (Blackie Drago),http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c00329c0dc23.jpg
